iter	RMSE
0	0.07868735335
1	0.07800336803
2	0.07745526143
3	0.07691184037
4	0.07637126231
5	0.07571116026
6	0.07518839474
7	0.07469738431
8	0.07416833235
9	0.07369514382
10	0.07321702395
11	0.07277616579
12	0.07235968454
13	0.07185267665
14	0.07139006703
15	0.07111600888
16	0.07072896341
17	0.0701185737
18	0.06969354941
19	0.06919486893
20	0.06894139023
21	0.06860892692
22	0.06821709498
23	0.06771232813
24	0.06743591297
25	0.06719811302
26	0.06683382471
27	0.0664226553
28	0.06607637425
29	0.0657907005
30	0.06547805571
31	0.06514118183
32	0.06485344493
33	0.06457411956
34	0.06423390774
35	0.0640491256
36	0.06392723506
37	0.06363010998
38	0.0633279823
39	0.06318506167
40	0.06309503131
41	0.06289522793
42	0.06254329127
43	0.06230424821
44	0.06206636801
45	0.06172075234
46	0.06154516743
47	0.06131524953
48	0.06114417695
49	0.06103951356
50	0.06086692627
51	0.06065698119
52	0.06051670202
53	0.06028469323
54	0.06015052101
55	0.05998029593
56	0.05980746011
57	0.05958070124
58	0.05942606785
59	0.05918626326
60	0.05894500467
61	0.05880742485
62	0.05870662605
63	0.05858257731
64	0.05834660056
65	0.05827141284
66	0.05808931714
67	0.05792926876
68	0.05766704467
69	0.05757279632
70	0.05740445024
71	0.05720657166
72	0.05713991947
73	0.05701827842
74	0.0569378347
75	0.0568019425
76	0.05670051566
77	0.05658481083
78	0.05639630727
79	0.05621741611
80	0.05612203129
81	0.05592740434
82	0.05572231033
83	0.05556919802
84	0.05539240954
85	0.05517374328
86	0.05505294497
87	0.05496321746
88	0.05487823048
89	0.05463170729
90	0.05452829031
91	0.05431042999
92	0.05421999584
93	0.05412483486
94	0.05400627609
95	0.0538769962
96	0.053758209
97	0.05367509247
98	0.05350549098
99	0.05333310675
100	0.05324204927
101	0.05316719782
102	0.05306059102
103	0.05290304569
104	0.0528204189
105	0.05274359424
106	0.0526851007
107	0.05251190537
108	0.05237641653
109	0.05221830181
110	0.05211978217
111	0.05202794402
112	0.05186910888
113	0.05165598362
114	0.05151125989
115	0.05134426816
116	0.05115483904
117	0.05102231874
118	0.05088842001
119	0.05074012459
120	0.05054756153
121	0.05045208277
122	0.05035222063
123	0.05015366542
124	0.05007087078
125	0.04993988996
126	0.04983062023
127	0.04971522836
128	0.04958580051
129	0.0494634187
130	0.0493818345
131	0.04927261855
132	0.04922331624
133	0.04913651757
134	0.04899717927
135	0.04893745573
136	0.04883409374
137	0.04877427563
138	0.04869973868
139	0.04866418162
140	0.04860250752
141	0.04846300503
142	0.04834398734
143	0.04824724179
