iter	Passed	Remaining
478	983	659
479	986	657
480	988	655
481	989	652
482	991	650
483	992	648
484	994	646
485	996	643
486	997	641
487	999	639
488	1001	637
489	1003	635
490	1005	633
491	1007	630
492	1009	628
493	1010	626
494	1012	623
495	1014	621
496	1016	619
497	1018	617
498	1020	615
499	1021	613
500	1023	610
501	1024	608
502	1026	606
503	1028	603
504	1029	601
505	1031	599
506	1033	597
507	1035	595
508	1037	592
509	1038	590
510	1040	588
511	1041	585
512	1043	583
513	1045	581
514	1046	579
515	1048	577
516	1050	574
517	1051	572
518	1054	570
519	1055	568
520	1057	566
521	1059	564
522	1060	561
523	1062	559
524	1063	557
525	1066	555
526	1067	553
527	1069	550
528	1074	550
529	1076	548
530	1077	545
531	1079	543
532	1081	541
533	1083	539
534	1084	537
535	1086	535
536	1087	532
537	1089	530
538	1091	528
539	1092	526
540	1094	523
541	1095	521
542	1097	519
543	1099	517
544	1102	515
545	1103	513
546	1105	511
547	1107	509
548	1108	506
549	1110	504
550	1112	502
551	1114	500
552	1116	498
553	1117	496
554	1119	494
555	1120	491
556	1122	489
557	1123	487
558	1125	485
559	1127	483
560	1129	481
561	1131	479
562	1133	477
563	1134	474
564	1136	472
565	1137	470
566	1139	468
567	1140	465
568	1142	463
569	1144	461
570	1146	459
571	1148	457
572	1150	455
573	1151	453
574	1153	451
575	1154	449
576	1156	446
577	1157	444
578	1159	442
579	1161	440
580	1163	438
581	1166	436
582	1167	434
583	1169	432
584	1171	430
585	1172	428
586	1174	426
587	1176	424
588	1177	421
589	1179	419
590	1181	417
591	1183	415
592	1184	413
593	1186	411
594	1187	409
595	1189	407
596	1190	404
597	1193	403
598	1195	401
599	1196	398
600	1198	396
601	1200	394
602	1202	392
603	1203	390
604	1205	388
605	1206	386
606	1208	384
607	1210	382
608	1212	380
609	1213	378
610	1215	375
611	1216	373
612	1218	371
613	1219	369
614	1221	367
615	1223	365
616	1225	363
617	1227	361
618	1228	359
619	1230	357
620	1231	355
621	1233	352
622	1235	350
623	1236	348
624	1238	346
625	1240	344
626	1242	342
627	1244	340
628	1246	338
629	1248	336
630	1249	334
631	1251	332
632	1252	330
633	1254	328
634	1257	326
635	1258	324
636	1260	322
637	1262	320
638	1263	318
639	1265	316
640	1266	314
641	1268	312
642	1269	310
643	1271	308
644	1273	305
645	1275	303
646	1276	301
647	1278	299
648	1279	297
649	1281	295
650	1283	293
651	1284	291
652	1286	289
653	1289	287
654	1291	285
655	1293	283
656	1294	281
657	1296	279
658	1298	277
659	1300	275
660	1301	273
661	1303	271
662	1305	269
663	1307	267
664	1309	265
665	1310	263
666	1312	261
667	1313	259
668	1315	257
669	1316	255
670	1318	253
671	1320	251
672	1322	249
673	1324	247
674	1326	245
675	1327	243
676	1329	241
677	1330	239
678	1332	237
679	1333	235
680	1335	233
681	1337	231
682	1339	229
683	1341	227
684	1343	225
685	1344	223
686	1346	221
687	1347	219
688	1349	217
689	1351	215
690	1353	213
691	1355	211
692	1357	209
693	1359	207
694	1360	205
695	1362	203
696	1363	201
697	1365	199
698	1367	197
699	1369	195
700	1370	193
701	1372	191
702	1374	189
703	1375	187
704	1377	185
705	1378	183
706	1380	181
707	1381	179
708	1383	177
709	1385	175
710	1387	173
711	1389	171
712	1390	169
713	1392	167
714	1393	165
715	1395	163
716	1396	161
717	1398	159
718	1400	157
719	1402	155
720	1403	153
721	1405	151
722	1406	149
723	1408	147
724	1410	145
725	1411	143
726	1413	141
727	1415	139
728	1417	138
729	1418	136
730	1420	134
731	1421	132
732	1423	130
733	1424	128
734	1426	126
735	1427	124
736	1429	122
737	1431	120
738	1433	118
739	1434	116
740	1436	114
741	1437	112
742	1439	110
743	1441	108
744	1443	106
745	1444	104
746	1446	102
747	1448	100
748	1450	98
749	1451	96
750	1453	94
751	1454	92
752	1456	90
753	1458	88
754	1459	86
755	1461	85
756	1462	83
757	1464	81
758	1466	79
759	1468	77
760	1469	75
761	1471	73
762	1472	71
763	1474	69
764	1475	67
765	1477	65
766	1479	63
767	1481	61
768	1483	59
769	1484	57
