iter	RMSE
0	0.07833711035
1	0.07770922516
2	0.07737584998
3	0.0768136386
4	0.07636709572
5	0.07599373953
6	0.07553706121
7	0.0751565363
8	0.0747770582
9	0.07429643189
10	0.07404933884
11	0.07365382913
12	0.07327474821
13	0.0729728254
14	0.07270095796
15	0.07256636221
16	0.07227398784
17	0.0720051115
18	0.07159735776
19	0.07132330055
20	0.07094030222
21	0.07073542375
22	0.07052520216
23	0.07026062215
24	0.06987584722
25	0.0695657345
26	0.06922680664
27	0.06907401364
28	0.06889527568
29	0.06867391872
30	0.06839368267
31	0.06805543429
32	0.06766573363
33	0.06747661185
34	0.06741910044
35	0.06723029499
36	0.06711929296
37	0.0669800793
38	0.06669152505
39	0.06659569008
40	0.06640868189
41	0.06629236144
42	0.06600869078
43	0.06578233917
44	0.06556625868
45	0.06530451888
46	0.06514216291
47	0.06494114226
48	0.06483423266
49	0.06462043157
50	0.06446344556
51	0.06429035843
52	0.0640901189
53	0.0639051055
54	0.06379146389
55	0.06356683737
56	0.06342765058
57	0.06318398733
58	0.06307572569
59	0.06283638326
60	0.06270444628
61	0.0626304625
62	0.06250290187
63	0.0623885337
64	0.06223705251
65	0.06202613902
66	0.06188786755
67	0.06177959453
68	0.06156280329
69	0.06140966773
70	0.06132444318
71	0.06121647201
72	0.06110442085
73	0.06102787084
74	0.06094499872
75	0.0607250864
76	0.06062556015
77	0.06049172722
78	0.06032072884
79	0.06019515274
80	0.06010513642
81	0.05989782634
82	0.05974329668
83	0.05956464312
84	0.05947764672
85	0.05938482889
86	0.05917258197
87	0.05901705436
88	0.05893204084
89	0.05882315368
90	0.05874183818
91	0.05854941224
92	0.05835588398
93	0.05830263464
94	0.05819098658
95	0.05811057338
96	0.05798589815
97	0.0578585433
98	0.05775494821
99	0.0576037764
100	0.05754051019
101	0.05739023033
102	0.0572684819
103	0.05711810063
104	0.05696779968
105	0.05690187181
106	0.0568683182
107	0.05673684875
108	0.05665529
109	0.05651588275
110	0.05631820502
111	0.05620041962
112	0.05609777834
113	0.05595320358
114	0.05591969741
115	0.05589374938
116	0.05581730658
117	0.05568259868
118	0.05565216997
119	0.05558939345
120	0.05547935291
121	0.05541041735
122	0.05532172634
123	0.05511774175
124	0.05499795887
125	0.05490114458
126	0.0548389302
127	0.05475680715
128	0.05460967382
129	0.05453262293
130	0.05439941643
131	0.05433498387
132	0.0542674286
133	0.05411403338
134	0.05392542889
135	0.05387289304
136	0.053727404
137	0.05366352362
138	0.05356681103
139	0.05350038346
140	0.05337448679
141	0.05321461098
142	0.05311981622
143	0.05305253935
144	0.05300234101
145	0.05294721451
146	0.05282209089
147	0.05269037127
148	0.05264867192
149	0.0526074702
150	0.05256404699
151	0.05250279202
152	0.05242174076
153	0.05238251705
154	0.05233718385
155	0.05228301543
156	0.05217642789
157	0.05208062114
158	0.05200873217
159	0.05182048448
160	0.05178654762
161	0.05171251199
162	0.05165678508
163	0.05160864889
164	0.05156020239
165	0.05148622202
166	0.05143982198
167	0.05136121615
168	0.05124305017
169	0.05119353909
170	0.05114344341
171	0.05108254561
172	0.05099885834
173	0.05086143384
174	0.05081373999
175	0.05069114482
176	0.05060151506
177	0.05047597442
178	0.05039102336
179	0.05033352223
180	0.05028848563
181	0.05021617174
182	0.05014682506
183	0.05007252942
184	0.05000532237
185	0.04994062594
186	0.04991358253
187	0.04987920588
188	0.04976114968
189	0.04970378901
190	0.04966197292
191	0.0496111375
192	0.04952278899
193	0.04946428011
194	0.04942346929
195	0.04938993259
196	0.04932720943
197	0.0491950191
198	0.04914085366
199	0.049030603
200	0.04891858751
201	0.04883691769
202	0.04867610925
203	0.04862477639
204	0.04852303767
205	0.04838947239
206	0.04834916309
207	0.04828313536
208	0.04819686004
209	0.04810535405
210	0.04804961931
211	0.04797203489
212	0.04789194295
213	0.04780982747
214	0.04776078928
215	0.04765573167
216	0.04763116276
217	0.04757172252
218	0.04748908162
219	0.04734370889
220	0.04725970676
221	0.04717420088
222	0.04713182262
223	0.04708241705
224	0.04704728529
225	0.0469281881
226	0.04688218201
227	0.04686541668
228	0.0468258496
229	0.04679903502
230	0.04674852977
231	0.04661686963
232	0.04659107082
233	0.04652588987
234	0.04639793289
235	0.04630162338
236	0.04622234802
237	0.0461777338
238	0.04613752711
239	0.04605953512
240	0.04600825719
241	0.04592464504
242	0.04588922439
243	0.0458493544
244	0.04577646727
245	0.04575116639
246	0.04572736679
247	0.04564605129
248	0.04554983356
249	0.045442604
250	0.04536191867
251	0.04532969789
252	0.04527787283
253	0.04525489961
254	0.0452265669
255	0.04514316311
256	0.04512044212
257	0.04496574941
258	0.04492868253
259	0.04487188414
260	0.04480183562
261	0.04474461735
262	0.04468014087
263	0.04459183335
264	0.04456159776
265	0.04450414728
266	0.04447225001
267	0.04443617881
